company_id=CANBK | year=2018 | metric=OPM | computed=61.8745 | source=-13350.0000 | difference=13411.8745 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2019 | metric=OPM | computed=56.7287 | source=-11590.0000 | difference=11646.7287 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2020 | metric=OPM | computed=53.8777 | source=-12867.0000 | difference=12920.8777 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2021 | metric=OPM | computed=61.8294 | source=-18367.0000 | difference=18428.8294 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2022 | metric=OPM | computed=58.3949 | source=-13657.0000 | difference=13715.3949 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2023 | metric=OPM | computed=49.8015 | source=-9877.0000 | difference=9926.8015 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CANBK | year=2024 | metric=OPM | computed=41.7539 | source=-7745.0000 | difference=7786.7539 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2013 | metric=OPM | computed=26.7704 | source=472.0000 | difference=445.2296 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2014 | metric=OPM | computed=28.4233 | source=578.0000 | difference=549.5767 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2015 | metric=OPM | computed=28.5599 | source=696.0000 | difference=667.4401 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2016 | metric=OPM | computed=30.0427 | source=899.0000 | difference=868.9573 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2017 | metric=OPM | computed=28.1636 | source=1143.0000 | difference=1114.8364 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2018 | metric=OPM | computed=26.1018 | source=1451.0000 | difference=1424.8982 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2019 | metric=OPM | computed=22.9600 | source=1888.0000 | difference=1865.0400 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2020 | metric=OPM | computed=27.7893 | source=1699.0000 | difference=1671.2107 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2021 | metric=OPM | computed=30.3976 | source=2094.0000 | difference=2063.6024 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2022 | metric=OPM | computed=28.8333 | source=2924.0000 | difference=2895.1667 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2023 | metric=OPM | computed=28.1046 | source=3515.0000 | difference=3486.8954 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CHOLAFIN | year=2024 | metric=OPM | computed=28.1010 | source=4548.0000 | difference=4519.8990 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2013 | metric=OPM | computed=73.2576 | source=2214.0000 | difference=2140.7424 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2014 | metric=OPM | computed=78.8951 | source=2147.0000 | difference=2068.1049 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2015 | metric=OPM | computed=80.9431 | source=2163.0000 | difference=2082.0569 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2016 | metric=OPM | computed=82.0160 | source=2480.0000 | difference=2397.9840 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2017 | metric=OPM | computed=82.6594 | source=2496.0000 | difference=2413.3406 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2018 | metric=OPM | computed=81.3473 | source=2826.0000 | difference=2744.6527 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2019 | metric=OPM | computed=81.0720 | source=3097.0000 | difference=3015.9280 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2020 | metric=OPM | computed=81.2865 | source=3206.0000 | difference=3124.7135 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2021 | metric=OPM | computed=77.8027 | source=4252.0000 | difference=4174.1973 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2022 | metric=OPM | computed=79.0838 | source=4553.0000 | difference=4473.9162 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2023 | metric=OPM | computed=77.9062 | source=5027.0000 | difference=4949.0938 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=CIPLA | year=2024 | metric=OPM | computed=75.5917 | source=6291.0000 | difference=6215.4083 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2013 | metric=OPM | computed=73.5195 | source=18087.0000 | difference=18013.4805 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2014 | metric=OPM | computed=74.8385 | source=17766.0000 | difference=17691.1615 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2015 | metric=OPM | computed=76.6015 | source=17343.0000 | difference=17266.3985 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2016 | metric=OPM | computed=75.9649 | source=18714.0000 | difference=18638.0351 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2017 | metric=OPM | computed=84.0745 | source=12448.0000 | difference=12363.9255 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2018 | metric=OPM | computed=89.1042 | source=9288.0000 | difference=9198.8958 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2019 | metric=OPM | computed=74.8890 | source=25007.0000 | difference=24932.1110 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2020 | metric=OPM | computed=77.5396 | source=21581.0000 | difference=21503.4604 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2021 | metric=OPM | computed=79.3082 | source=18628.0000 | difference=18548.6918 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2022 | metric=OPM | computed=77.4689 | source=24721.0000 | difference=24643.5311 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2023 | metric=OPM | computed=68.0062 | source=44232.0000 | difference=44163.9938 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=COALINDIA | year=2024 | metric=OPM | computed=66.2938 | source=47971.0000 | difference=47904.7062 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2013 | metric=OPM | computed=35.2221 | source=3534.0000 | difference=3498.7779 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2014 | metric=OPM | computed=31.7425 | source=5602.0000 | difference=5570.2575 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2015 | metric=OPM | computed=31.9031 | source=7214.0000 | difference=7182.0969 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2016 | metric=OPM | computed=31.7517 | source=9037.0000 | difference=9005.2483 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2017 | metric=OPM | computed=32.5586 | source=11374.0000 | difference=11341.4414 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2018 | metric=OPM | computed=34.6262 | source=13374.0000 | difference=13339.3738 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2019 | metric=OPM | computed=33.1454 | source=16592.0000 | difference=16558.8546 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2020 | metric=OPM | computed=37.2038 | source=14593.0000 | difference=14555.7962 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2021 | metric=OPM | computed=40.8061 | source=16848.0000 | difference=16807.1939 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2022 | metric=OPM | computed=41.6056 | source=20795.0000 | difference=20753.3944 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2023 | metric=OPM | computed=36.9198 | source=29932.0000 | difference=29895.0802 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCBANK | year=2024 | metric=OPM | computed=61.4125 | source=-44685.0000 | difference=44746.4125 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2013 | metric=OPM | computed=96.2660 | source=525.0000 | difference=428.7340 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2014 | metric=OPM | computed=96.4756 | source=605.0000 | difference=508.5244 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2015 | metric=OPM | computed=96.7885 | source=874.0000 | difference=777.2115 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2016 | metric=OPM | computed=94.7412 | source=953.0000 | difference=858.2588 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2017 | metric=OPM | computed=96.8251 | source=972.0000 | difference=875.1749 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2018 | metric=OPM | computed=96.6708 | source=1074.0000 | difference=977.3292 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2019 | metric=OPM | computed=96.8730 | source=1215.0000 | difference=1118.1270 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2020 | metric=OPM | computed=96.1164 | source=1141.0000 | difference=1044.8836 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2021 | metric=OPM | computed=98.2748 | source=1235.0000 | difference=1136.7252 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2022 | metric=OPM | computed=98.8410 | source=778.0000 | difference=679.1590 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2023 | metric=OPM | computed=99.8861 | source=80.0000 | difference=19.8861 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HDFCLIFE | year=2024 | metric=OPM | computed=99.4768 | source=531.0000 | difference=431.5232 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2014 | metric=OPM | computed=85.9426 | source=3553.0000 | difference=3467.0574 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2015 | metric=OPM | computed=87.2177 | source=3520.0000 | difference=3432.7823 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2016 | metric=OPM | computed=84.4537 | source=4424.0000 | difference=4339.5463 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2017 | metric=OPM | computed=83.9741 | source=4585.0000 | difference=4501.0259 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2018 | metric=OPM | computed=83.5665 | source=5334.0000 | difference=5250.4335 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2019 | metric=OPM | computed=85.2080 | source=5025.0000 | difference=4939.7920 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2020 | metric=OPM | computed=86.0874 | source=4070.0000 | difference=3983.9126 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2021 | metric=OPM | computed=86.8956 | source=4058.0000 | difference=3971.1044 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2022 | metric=OPM | computed=88.9818 | source=3256.0000 | difference=3167.0182 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2023 | metric=OPM | computed=88.0028 | source=4099.0000 | difference=4010.9972 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HEROMOTOCO | year=2024 | metric=OPM | computed=86.1468 | source=5235.0000 | difference=5148.8532 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2013 | metric=OPM | computed=90.3994 | source=7699.0000 | difference=7608.6006 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2014 | metric=OPM | computed=90.8501 | source=8024.0000 | difference=7933.1499 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2015 | metric=OPM | computed=91.5191 | source=8844.0000 | difference=8752.4809 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2016 | metric=OPM | computed=92.1243 | source=7778.0000 | difference=7685.8757 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2017 | metric=OPM | computed=87.7056 | source=12317.0000 | difference=12229.2944 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2018 | metric=OPM | computed=88.1102 | source=13695.0000 | difference=13606.8898 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2019 | metric=OPM | computed=88.1180 | source=15511.0000 | difference=15422.8820 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2020 | metric=OPM | computed=87.8910 | source=14306.0000 | difference=14218.1090 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2021 | metric=OPM | computed=86.6985 | source=17559.0000 | difference=17472.3015 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2022 | metric=OPM | computed=85.4675 | source=28347.0000 | difference=28261.5325 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2023 | metric=OPM | computed=89.8451 | source=22666.0000 | difference=22576.1549 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDALCO | year=2024 | metric=OPM | computed=88.9462 | source=23872.0000 | difference=23783.0538 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2013 | metric=OPM | computed=84.3727 | source=4220.0000 | difference=4135.6273 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2014 | metric=OPM | computed=83.7210 | source=4759.0000 | difference=4675.2790 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2015 | metric=OPM | computed=83.0727 | source=5412.0000 | difference=5328.9273 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2016 | metric=OPM | computed=81.6380 | source=5910.0000 | difference=5828.3620 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2017 | metric=OPM | computed=80.9179 | source=6328.0000 | difference=6247.0821 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2018 | metric=OPM | computed=78.9028 | source=7499.0000 | difference=7420.0972 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2019 | metric=OPM | computed=77.4103 | source=8880.0000 | difference=8802.5897 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2020 | metric=OPM | computed=75.2130 | source=9861.0000 | difference=9785.7870 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2021 | metric=OPM | computed=75.2786 | source=11626.0000 | difference=11550.7214 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2022 | metric=OPM | computed=75.4853 | source=12857.0000 | difference=12781.5147 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2023 | metric=OPM | computed=76.6474 | source=14147.0000 | difference=14070.3526 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=HINDUNILVR | year=2024 | metric=OPM | computed=76.3167 | source=14659.0000 | difference=14582.6833 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2013 | metric=OPM | computed=70.5893 | source=-15085.0000 | difference=15155.5893 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2014 | metric=OPM | computed=66.3958 | source=-13084.0000 | difference=13150.3958 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2015 | metric=OPM | computed=70.5298 | source=-16120.0000 | difference=16190.5298 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2016 | metric=OPM | computed=88.1236 | source=-26955.0000 | difference=27043.1236 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2017 | metric=OPM | computed=104.7604 | source=-37737.0000 | difference=37841.7604 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2018 | metric=OPM | computed=117.1230 | source=-44906.0000 | difference=45023.1230 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2019 | metric=OPM | computed=116.3833 | source=-50971.0000 | difference=51087.3833 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2020 | metric=OPM | computed=100.6188 | source=-45190.0000 | difference=45290.6188 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2021 | metric=OPM | computed=102.4068 | source=-44805.0000 | difference=44907.4068 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2022 | metric=OPM | computed=84.6877 | source=-26558.0000 | difference=26642.6877 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2023 | metric=OPM | computed=72.5747 | source=-17341.0000 | difference=17413.5747 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIBANK | year=2024 | metric=OPM | computed=62.4138 | source=-14152.0000 | difference=14214.4138 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2013 | metric=OPM | computed=104.4616 | source=-178.0000 | difference=282.4616 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2014 | metric=OPM | computed=105.1930 | source=-225.0000 | difference=330.1930 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2015 | metric=OPM | computed=105.2433 | source=-221.0000 | difference=326.2433 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2016 | metric=OPM | computed=87.3363 | source=764.0000 | difference=676.6637 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2017 | metric=OPM | computed=87.7793 | source=919.0000 | difference=831.2207 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2018 | metric=OPM | computed=103.7905 | source=-262.0000 | difference=365.7905 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2019 | metric=OPM | computed=85.0488 | source=1669.0000 | difference=1583.9512 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2020 | metric=OPM | computed=84.6140 | source=1772.0000 | difference=1687.3860 | category=formula discrepancy | explanation=OPM difference exceeds 1%
