company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
AXISBANK,AXISBANK,Axis Bank Ltd,2017,2018,Shareholder Returns,Growth Funded by Debt,Moved from Shareholder Returns to Growth Funded by Debt
AXISBANK,AXISBANK,Axis Bank Ltd,2018,2019,Growth Funded by Debt,Mixed,Moved from Growth Funded by Debt to Mixed
AXISBANK,AXISBANK,Axis Bank Ltd,2023,2024,Mixed,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2013,2014,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2014,2015,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2017,2018,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2018,2019,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2019,2020,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2020,2021,Liquidating Assets,Reinvestor,Moved from Liquidating Assets to Reinvestor
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2021,2022,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Ltd,2023,2024,Liquidating Assets,Reinvestor,Moved from Liquidating Assets to Reinvestor
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2015,2016,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2016,2017,Growth Funded by Debt,Distress Signal,Moved from Growth Funded by Debt to Distress Signal
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2017,2018,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2020,2021,Growth Funded by Debt,Mixed,Moved from Growth Funded by Debt to Mixed
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2021,2022,Mixed,Distress Signal,Moved from Mixed to Distress Signal
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,2022,2023,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
BAJAJHLDNG,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2015,2016,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
