company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
HAVELLS,HAVELLS,Havells India Ltd,2020,2021,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
HAVELLS,HAVELLS,Havells India Ltd,2021,2022,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
HAVELLS,HAVELLS,Havells India Ltd,2022,2023,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
HAVELLS,HAVELLS,Havells India Ltd,2023,2024,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
HCLTECH,HCLTECH,HCL Technologies Ltd,2013,2014,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
HCLTECH,HCLTECH,HCL Technologies Ltd,2016,2017,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
HCLTECH,HCLTECH,HCL Technologies Ltd,2017,2018,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
HCLTECH,HCLTECH,HCL Technologies Ltd,2019,2020,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
HCLTECH,HCLTECH,HCL Technologies Ltd,2021,2022,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
HCLTECH,HCLTECH,HCL Technologies Ltd,2022,2023,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
HDFCBANK,HDFCBANK,HDFC Bank Ltd,2013,2014,Growth Funded by Debt,Mixed,Moved from Growth Funded by Debt to Mixed
HDFCBANK,HDFCBANK,HDFC Bank Ltd,2014,2015,Mixed,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
HDFCBANK,HDFCBANK,HDFC Bank Ltd,2016,2017,Growth Funded by Debt,Shareholder Returns,Moved from Growth Funded by Debt to Shareholder Returns
HDFCBANK,HDFCBANK,HDFC Bank Ltd,2017,2018,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
