company_id,year,net_profit,equity_capital,reserves,database_roe,current_sales,sales_five_years_ago,database_revenue_cagr_5yr,manual_roe,manual_revenue_cagr_5yr,roe_difference,cagr_difference,status
BEL,2024,3985.0,11.0,73.0,4744.047619047619,20268.0,12164.0,10.7508063318833,4744.047619047619,10.7508063318833,0.0,0.0,PASS
HDFCBANK,2024,65446.0,760.0,455636.0,14.33974005030719,283649.0,105161.0,21.95098428169122,14.33974005030719,21.95098428169122,0.0,0.0,PASS
TCS,2024,46099.0,362.0,90127.0,50.944313673485176,240893.0,146463.0,10.463614801716602,50.944313673485176,10.463614801716602,0.0,0.0,PASS
